model,cv_f1,test_accuracy,test_precision,test_recall,test_f1,clf__penalty,clf__C,clf__solver,clf__n_estimators,clf__max_depth,clf__min_samples_split,clf__max_features,clf__learning_rate,clf__gamma
gradient_boosting,0.6317098196533264,0.8594167565286699,0.7561781609195403,0.5503503084806023,0.6370513829207771,,,,300.0,5.0,,,0.1,
svc_rbf,0.632601692724499,0.8590651226030287,0.7463577077840988,0.5624803931820559,0.6415026833631485,,10.0,,,,,,,scale
logistic_regression,0.5979726378432503,0.8497351024426837,0.7355445988346033,0.5147966119418592,0.6056840551181102,l2,10.0,saga,,,,,,
random_forest,0.5982555204936836,0.8567208964320878,0.7829152320052467,0.4993202969779358,0.6097560975609756,,,,150.0,,2.0,sqrt,,
